Name:Person_0;Age:28;Gender:male;Ethnicity:Indonesian;Primary Language:Bahasa Indonesia
Video index;Video start time;Video name;Video end time
1;1583382526.4225624;Sad003708960.mp4;1583382545.2339218
2;1583382553.0070024;Sad003724280.mp4;1583382560.548547
3;1583382566.4485674;Sad003934640.mp4;1583382580.1519456
4;1583382585.6161993;Sad004235880.mp4;1583382603.3678389
5;1583382607.641476;Sad004418334.mp4;1583382622.483735
6;1583382629.251539;Sad004531880.mp4;1583382640.6829436
7;1583382646.4300096;Sad004617440.mp4;1583382660.880725
8;1583382665.6192284;Sad005206720.mp4;1583382683.9046814
9;1583382690.177454;Sad005207737.mp4;1583382704.052227
10;1583382707.9195735;Sad005255120.mp4;1583382717.44076
11;1583382721.9898605;Sad005352720.mp4;1583382739.051774
12;1583382742.8032064;Sad005624720.mp4;1583382751.8207726
13;1583382755.9253728;Neutral010431760.mp4;1583382767.7081287
14;1583382771.6887462;Neutral010505920.mp4;1583382778.025946
15;1583382782.2675235;Neutral010605600.mp4;1583382793.8395374
16;1583382797.6241364;Neutral010622160.mp4;1583382804.8088
17;1583382809.6890893;Neutral010623080.mp4;1583382820.0041263
18;1583382825.0705419;Neutral010630520.mp4;1583382836.8754683
19;1583382843.3556423;Neutral010658723.mp4;1583382865.6447985
20;1583382869.7242422;Neutral011359760.mp4;1583382883.512031
21;1583382887.0249746;Neutral011622200.mp4;1583382898.174873
22;1583382900.9477878;Neutral011730883.mp4;1583382909.2577667
23;1583382912.439772;Neutral011754720.mp4;1583382922.9436965
24;1583382926.292693;Neutral011758680.mp4;1583382940.8404183
25;1583382945.9911518;Neutral011915720.mp4;1583382958.9927902
26;1583382961.9841762;Neutral011917200.mp4;1583382969.5568054
27;1583382973.7937517;Neutral011937240.mp4;1583382984.5134683
28;1583382988.5602071;Neutral012019363.mp4;1583382995.710237
29;1583382998.8367393;Disgust002303560.mp4;1583383006.2130787
30;1583383011.8794117;Disgust002516934.mp4;1583383023.760516
31;1583383026.786602;Disgust002739520.mp4;1583383035.3469303
32;1583383038.3108664;Disgust002811160.mp4;1583383049.2961562
33;1583383055.5305235;Disgust002850840.mp4;1583383064.5294673
34;1583383069.320365;Disgust003210880.mp4;1583383077.9605064
35;1583383081.3575878;Disgust003236644.mp4;1583383088.631041
36;1583383095.1500793;Disgust003307280.mp4;1583383106.3878038
37;1583383109.3499885;Disgust003321880.mp4;1583383123.1328404
38;1583383126.6779392;Disgust003330000.mp4;1583383135.541864
39;1583383138.5647633;Disgust003638840.mp4;1583383151.183755
40;1583383155.6190157;Disgust011346520.mp4;1583383167.0961707
41;1583383171.2117689;Happy001414094.mp4;1583383176.4793859
42;1583383179.6433287;Happy001454240.mp4;1583383189.4753082
43;1583383193.6868563;Happy001555320.mp4;1583383202.0564513
44;1583383204.9111404;Happy001734840.mp4;1583383212.3324683
45;1583383214.9319315;Happy001742240.mp4;1583383221.5994816
46;1583383225.5205984;Happy001748527.mp4;1583383230.6735885
47;1583383234.897855;Happy001805320.mp4;1583383241.9190347
48;1583383244.531412;Happy001807000.mp4;1583383259.8953156
49;1583383262.478127;Happy001815600.mp4;1583383269.7640676
50;1583383274.8476489;Happy001834160.mp4;1583383281.1691844
51;1583383284.3675725;Happy001846360.mp4;1583383294.6424236
52;1583383297.5884433;Happy001941000.mp4;1583383302.6013572
53;1583383306.1829464;Happy001954560.mp4;1583383311.1142213
54;1583383314.1331027;Happy002240480.mp4;1583383321.6659954
55;1583383324.2585125;Happy002252017.mp4;1583383333.1445107
56;1583383337.217444;Happy002324880.mp4;1583383348.1188564
57;1583383352.201916;Fear002910000.mp4;1583383359.709921
58;1583383364.0900638;Fear003316894.mp4;1583383372.287071
59;1583383375.881508;Fear003701120.mp4;1583383388.1830914
60;1583383391.080459;Fear003714360.mp4;1583383399.7826781
61;1583383402.7694185;Fear003839880.mp4;1583383412.6692028
62;1583383416.6691587;Fear003858160.mp4;1583383420.7556984
63;1583383423.425315;Fear004039720.mp4;1583383429.4760396
64;1583383431.8598466;Fear004118480.mp4;1583383436.994022
65;1583383439.8507016;Fear004242574.mp4;1583383451.9418387
66;1583383460.3264325;Fear004305440.mp4;1583383467.4063828
67;1583383470.125793;Fear004313680.mp4;1583383476.5221307
68;1583383481.085263;Fear004331934.mp4;1583383492.8069015
69;1583383495.916792;Surprise004319360.mp4;1583383503.158381
70;1583383506.8724248;Surprise004603760.mp4;1583383511.442026
71;1583383514.0521057;Surprise004605760.mp4;1583383523.4824085
72;1583383530.0347486;Surprise005014520.mp4;1583383536.1282396
73;1583383538.5992072;Surprise005409240.mp4;1583383546.575461
74;1583383549.1556535;Surprise005913697.mp4;1583383556.7388554
75;1583383561.428063;Surprise010123320.mp4;1583383566.8608744
76;1583383571.4060328;Surprise010340280.mp4;1583383582.6910355
77;1583383586.0192397;Surprise010620040.mp4;1583383594.4624217
78;1583383598.0733483;Surprise011549760.mp4;1583383606.4585857
79;1583383609.3217468;Surprise011631117.mp4;1583383614.4096477
80;1583383619.1419349;Surprise011809840.mp4;1583383631.3447819
81;1583383634.5080838;Angry003446574.mp4;1583383646.9626613
82;1583383652.3198667;Angry003921207.mp4;1583383657.3284545
83;1583383661.3094692;Angry003948807.mp4;1583383671.2101634
84;1583383674.6877146;Angry004108160.mp4;1583383680.6572034
85;1583383683.9914067;Angry004510640.mp4;1583383688.0934222
86;1583383691.3662775;Angry004924334.mp4;1583383698.253909
87;1583383709.1600258;Angry005006800.mp4;1583383718.4106598
88;1583383723.1219707;Angry005007120.mp4;1583383728.536945
89;1583383732.926758;Angry005015240.mp4;1583383741.3846023
90;1583383744.0897195;Angry005047920.mp4;1583383754.0151067
91;1583383757.4788475;Angry005110000.mp4;1583383770.0429082
92;1583383773.6334028;Angry005221760.mp4;1583383778.383275
