Name:Person_12;Age:34;Gender:male;Ethnicity:Asian;Primary Language:Mandarin
Video index;Video start time;Video name;Video end time
1;1583385111.0824623;Surprise012101720.mp4;1583385127.4260097
2;1583385138.471819;Surprise012554740.mp4;1583385161.4809132
3;1583385166.033969;Surprise012726680.mp4;1583385176.1197925
4;1583385181.5340784;Surprise013437680.mp4;1583385189.1049707
5;1583385193.033899;Surprise014012360.mp4;1583385199.233736
6;1583385202.6789963;Surprise015337240.mp4;1583385226.4975147
7;1583385230.0991235;Surprise001549320.mp4;1583385238.8246655
8;1583385243.2301795;Surprise001947263.mp4;1583385253.9366112
9;1583385258.204768;Surprise002315574.mp4;1583385266.7375004
10;1583385270.2931705;Surprise002518734.mp4;1583385278.1713324
11;1583385281.3080053;Surprise002652360.mp4;1583385289.9983568
12;1583385293.8728848;Surprise002712120.mp4;1583385299.643156
13;1583385302.5085263;Happy002327480.mp4;1583385315.271885
14;1583385318.5390065;Happy002400680.mp4;1583385326.6162565
15;1583385330.3545399;Happy002459400.mp4;1583385336.9245844
16;1583385340.677814;Happy002503000.mp4;1583385346.1839323
17;1583385349.0510921;Happy002723534.mp4;1583385355.5785093
18;1583385360.659531;Happy003229280.mp4;1583385370.3437314
19;1583385373.933998;Happy003239520.mp4;1583385378.5043254
20;1583385383.010944;Happy003322120.mp4;1583385390.2743526
21;1583385392.853464;Happy003729254.mp4;1583385401.7117615
22;1583385404.761785;Happy003907774.mp4;1583385410.1207392
23;1583385413.5305219;Happy003910920.mp4;1583385418.4892008
24;1583385421.4701312;Happy004004880.mp4;1583385428.619334
25;1583385431.63054;Happy004248054.mp4;1583385438.3533478
26;1583385441.482339;Happy004411160.mp4;1583385446.0576832
27;1583385448.825549;Happy004630654.mp4;1583385463.841744
28;1583385466.6701784;Happy004720600.mp4;1583385471.3962355
29;1583385473.752928;Sad005834360.mp4;1583385478.8286753
30;1583385481.6791513;Sad005917560.mp4;1583385490.810047
31;1583385493.9566195;Sad005948120.mp4;1583385501.5152047
32;1583385504.2855306;Sad010154280.mp4;1583385511.7433708
33;1583385514.796207;Sad010205440.mp4;1583385521.7303467
34;1583385524.7093754;Sad010239320.mp4;1583385531.887899
35;1583385534.406386;Sad010242118.mp4;1583385542.3627598
36;1583385545.443521;Sad010258160.mp4;1583385551.2048237
37;1583385553.6927762;Sad010331720.mp4;1583385559.4780014
38;1583385562.013574;Sad010512120.mp4;1583385569.2233253
39;1583385572.211341;Sad010553167.mp4;1583385577.1900856
40;1583385580.103337;Sad010646720.mp4;1583385587.1780496
41;1583385591.2616043;Angry005234720.mp4;1583385598.3973148
42;1583385601.2468174;Angry005436800.mp4;1583385608.3537247
43;1583385611.0254385;Angry005718367.mp4;1583385618.158659
44;1583385621.0091403;Angry005846280.mp4;1583385626.9133067
45;1583385629.8437529;Angry005924840.mp4;1583385636.1450253
46;1583385638.923263;Angry010244174.mp4;1583385646.4817002
47;1583385649.4017127;Angry010431280.mp4;1583385656.0305135
48;1583385659.1016438;Angry010511560.mp4;1583385665.2294714
49;1583385668.2323918;Angry010519417.mp4;1583385679.0016623
50;1583385688.7974331;Angry010854560.mp4;1583385700.0154998
51;1583385702.948504;Angry011115200.mp4;1583385709.1665184
52;1583385711.8489769;Angry011457120.mp4;1583385718.433762
53;1583385720.9829721;Disgust011616600.mp4;1583385726.754153
54;1583385729.0305786;Disgust011743763.mp4;1583385736.4526906
55;1583385738.9161308;Disgust011745280.mp4;1583385748.7383509
56;1583385751.6819594;Disgust011756043.mp4;1583385759.0828452
57;1583385762.0865362;Disgust011833760.mp4;1583385771.8960147
58;1583385775.062261;Disgust012024040.mp4;1583385779.9022667
59;1583385782.2674568;Disgust012424200.mp4;1583385788.0701916
60;1583385791.0684776;Disgust012456720.mp4;1583385798.9165933
61;1583385801.8830721;Disgust012801400.mp4;1583385808.6708982
62;1583385813.3071826;Disgust013317360.mp4;1583385819.497286
63;1583385822.487447;Disgust013606640.mp4;1583385826.833717
64;1583385829.8277056;Disgust014129160.mp4;1583385834.7763863
65;1583385837.3195846;Fear004432000.mp4;1583385844.552049
66;1583385847.5374804;Fear004441414.mp4;1583385853.1847498
67;1583385856.3937292;Fear004442200.mp4;1583385862.3217545
