Name:Person_15;Age:21;Gender:male;Ethnicity:Malaysian Chinese;Primary Language:English, Mandarin, Malaysian
Video index;Video start time;Video name;Video end time
1;1583376672.9089265;Fear003714360.mp4;1583376686.0244548
2;1583376692.0389507;Fear004039720.mp4;1583376708.8719678
3;1583376713.1053379;Fear004118480.mp4;1583376725.5026374
4;1583376729.0801888;Fear004242574.mp4;1583376736.698933
5;1583376741.9435394;Fear004305440.mp4;1583376754.934633
6;1583376759.5095701;Fear004331934.mp4;1583376768.4984918
7;1583376772.8530066;Fear004442200.mp4;1583376777.3831122
8;1583376780.4572225;Fear004545894.mp4;1583376789.218087
9;1583376792.2905414;Fear004643374.mp4;1583376797.6815867
10;1583376805.6858962;Fear004653400.mp4;1583376810.7412298
11;1583376822.5031846;Fear005159337.mp4;1583376828.7550955
12;1583376832.2101278;Fear005924440.mp4;1583376836.5894814
25;1583376964.4257443;Neutral003012143.mp4;1583376971.122305
26;1583376975.4258227;Neutral003044960.mp4;1583376980.3317115
27;1583376984.611227;Neutral003132520.mp4;1583376992.3075182
28;1583376997.7524366;Neutral003139560.mp4;1583377005.7925394
29;1583377009.511624;Neutral003140960.mp4;1583377017.5542622
30;1583377020.0273447;Neutral003219120.mp4;1583377027.6475666
31;1583377030.8508053;Neutral003322280.mp4;1583377042.4953141
32;1583377046.8694882;Neutral003349414.mp4;1583377056.0603304
33;1583377061.6828253;Neutral003358400.mp4;1583377069.9623356
34;1583377073.9943318;Neutral003423394.mp4;1583377078.9606752
35;1583377083.1944394;Neutral003653680.mp4;1583377092.009023
36;1583377100.449429;Neutral003732200.mp4;1583377114.7467165
37;1583377117.641974;Neutral003753360.mp4;1583377124.4725652
38;1583377127.4501305;Neutral003800240.mp4;1583377132.0840914
39;1583377134.4906373;Neutral003801920.mp4;1583377139.5969524
40;1583377143.1830256;Neutral003934614.mp4;1583377148.9399164
41;1583377152.6463501;Disgust011346520.mp4;1583377159.6485775
42;1583377162.7632484;Disgust011616600.mp4;1583377169.524686
43;1583377172.3497906;Disgust011743763.mp4;1583377180.5227506
44;1583377187.4716609;Disgust011745280.mp4;1583377193.0482
45;1583377194.9676049;Disgust011756043.mp4;1583377201.3182466
46;1583377206.336214;Disgust011833760.mp4;1583377213.4959025
47;1583377218.8817747;Disgust012024040.mp4;1583377224.589052
48;1583377230.7482939;Disgust012424200.mp4;1583377239.4480789
49;1583377248.3138077;Disgust012456720.mp4;1583377253.3729377
50;1583377256.3309546;Disgust012801400.mp4;1583377262.9785903
51;1583377266.3699868;Disgust013606640.mp4;1583377271.0304468
52;1583377274.3397264;Disgust014129160.mp4;1583377279.6358323
53;1583377282.4213831;Happy005912080.mp4;1583377289.8114629
54;1583377292.1996036;Happy010003880.mp4;1583377299.3048882
55;1583377302.1939816;Happy010128697.mp4;1583377305.7469814
56;1583377309.1803584;Happy010156083.mp4;1583377319.3369565
57;1583377324.0701025;Happy010232120.mp4;1583377331.6493347
58;1583377334.0081441;Happy010258723.mp4;1583377341.2064404
59;1583377344.5830622;Happy010659200.mp4;1583377350.0596707
60;1583377352.740644;Happy011016120.mp4;1583377358.871226
61;1583377362.3738556;Happy011058967.mp4;1583377367.140597
62;1583377370.3066032;Happy011230520.mp4;1583377374.24743
63;1583377377.3051758;Happy011526007.mp4;1583377384.2995656
64;1583377388.7354856;Happy011714960.mp4;1583377395.8108652
65;1583377401.360555;Happy011720723.mp4;1583377407.3311846
66;1583377410.3508654;Happy012056680.mp4;1583377420.5055377
67;1583377423.788344;Happy012155840.mp4;1583377432.0822475
68;1583377434.7377534;Happy012236960.mp4;1583377440.5167232
