Name:Person_2;Age:24;Gender:male;Ethnicity:Indian;Primary Language:Telugu
Video index;Video start time;Video name;Video end time
5;1583374103.93715;Fear001143440.mp4;1583374113.3232048
6;1583374117.1389294;Fear001602760.mp4;1583374126.175519
7;1583374129.9410107;Fear002241000.mp4;1583374134.6839948
8;1583374142.164883;Fear002551440.mp4;1583374153.2526126
9;1583374156.8236325;Fear002616840.mp4;1583374164.5101686
10;1583374169.0615602;Fear002828240.mp4;1583374174.8552992
11;1583374179.6202817;Fear002941400.mp4;1583374184.7041771
12;1583374187.8787475;Fear003639560.mp4;1583374197.9424517
25;1583374321.2257326;Neutral002150080.mp4;1583374327.479008
26;1583374330.7344222;Neutral002215207.mp4;1583374337.0663004
27;1583374340.5108821;Neutral002232880.mp4;1583374345.9423845
28;1583374348.615294;Neutral002249887.mp4;1583374353.8292599
29;1583374356.959782;Neutral002443480.mp4;1583374363.916962
30;1583374367.0256586;Neutral002601134.mp4;1583374372.5606377
31;1583374375.4566462;Neutral002614174.mp4;1583374381.4101033
32;1583374385.4254994;Neutral002616120.mp4;1583374392.2273035
33;1583374395.0002956;Neutral002631560.mp4;1583374402.0428898
34;1583374404.8108597;Neutral002640847.mp4;1583374412.3936472
35;1583374415.663455;Neutral002802360.mp4;1583374426.415059
36;1583374429.6498559;Neutral002852720.mp4;1583374439.5647373
37;1583374443.8672168;Neutral002901240.mp4;1583374449.3256266
38;1583374452.3029642;Neutral002905934.mp4;1583374457.09928
39;1583374460.1678877;Neutral002913374.mp4;1583374466.0787718
40;1583374469.3511994;Neutral002927520.mp4;1583374480.3765228
41;1583374484.281103;Happy003722087.mp4;1583374489.2665503
42;1583374491.9166865;Happy003813480.mp4;1583374499.3954945
43;1583374502.1508636;Happy003917840.mp4;1583374509.6977117
44;1583374513.2106855;Happy004026600.mp4;1583374517.9360218
45;1583374520.8968327;Happy004157440.mp4;1583374525.036
46;1583374527.900448;Happy004212680.mp4;1583374531.3834414
47;1583374534.6205468;Happy004312720.mp4;1583374542.2829773
48;1583374544.669757;Happy004355094.mp4;1583374549.6658268
49;1583374552.681302;Happy004425334.mp4;1583374560.6366165
50;1583374564.6046267;Happy004558800.mp4;1583374571.7704983
51;1583374575.1712325;Happy004612800.mp4;1583374580.2976944
52;1583374583.9745264;Happy004712280.mp4;1583374589.5045412
53;1583374592.1037436;Happy004713360.mp4;1583374598.5300763
54;1583374633.540696;Happy005143680.mp4;1583374639.7830098
55;1583374642.4845252;Happy005149560.mp4;1583374647.685797
56;1583374650.36372;Happy005626200.mp4;1583374654.5669527
57;1583374658.297155;Disgust005742240.mp4;1583374666.1042879
58;1583374668.6062934;Disgust005923627.mp4;1583374674.0856473
59;1583374678.4419096;Disgust005941880.mp4;1583374684.0348365
60;1583374687.0670605;Disgust010102200.mp4;1583374693.7320337
61;1583374696.1964195;Disgust010206973.mp4;1583374702.3602316
62;1583374705.9404392;Disgust010300163.mp4;1583374714.6047096
63;1583374717.5076916;Disgust010626240.mp4;1583374723.5054188
64;1583374726.1523306;Disgust010939560.mp4;1583374733.7138073
65;1583374736.265587;Disgust010942127.mp4;1583374746.2778926
66;1583374749.1877596;Disgust011055560.mp4;1583374755.3406014
67;1583374757.7043068;Disgust011152200.mp4;1583374762.3836079
68;1583374767.7157133;Disgust011158480.mp4;1583374774.1234968
69;1583374780.009107;Angry013946567.mp4;1583374788.038979
81;1583374895.8026338;Surprise002652360.mp4;1583374901.6448486
82;1583374905.0459032;Surprise002730440.mp4;1583374911.456067
83;1583374914.8792665;Surprise011018537.mp4;1583374920.840342
84;1583374924.47994;Surprise011603980.mp4;1583374928.4461718
