Name:Person_23;Age:28;Gender:female;Ethnicity:Chinese;Primary Language:Chinese
Video index;Video start time;Video name;Video end time
1;1583367029.1564612;Happy000853240.mp4;1583367045.842831
2;1583367053.6908154;Happy000901567.mp4;1583367063.2742689
3;1583367066.1916616;Happy001305160.mp4;1583367070.7205381
4;1583367073.8035297;Happy001345207.mp4;1583367083.9875815
5;1583367086.5812762;Happy001555320.mp4;1583367092.817291
6;1583367094.871383;Happy001734840.mp4;1583367101.569467
7;1583367103.6043496;Happy001742240.mp4;1583367110.4195068
8;1583367112.7485213;Happy001805320.mp4;1583367119.5401368
9;1583367122.3768709;Happy001815600.mp4;1583367127.9694514
10;1583367129.9724376;Happy001834160.mp4;1583367137.8582215
11;1583367139.7213917;Happy001846360.mp4;1583367144.4890795
12;1583367147.3678682;Happy002252017.mp4;1583367155.4212894
13;1583367157.517937;Happy002324880.mp4;1583367162.6026676
14;1583367164.6632116;Happy002327480.mp4;1583367170.1626496
15;1583367172.3849473;Happy002459400.mp4;1583367178.1283998
16;1583367180.2083926;Happy002503000.mp4;1583367184.6025686
37;1583367358.1725082;Sad003724280.mp4;1583367362.2804863
38;1583367364.2838018;Sad003934640.mp4;1583367368.50647
39;1583367371.0602477;Sad010553167.mp4;1583367375.960402
40;1583367378.2056942;Sad012325488.mp4;1583367388.746926
41;1583367390.7795136;Sad012336688.mp4;1583367395.905451
57;1583367527.6678987;Disgust002123400.mp4;1583367531.9626484
58;1583367534.3762152;Disgust002303560.mp4;1583367541.5702984
59;1583367543.7575226;Disgust002516934.mp4;1583367552.5853965
60;1583367556.6077092;Disgust002739520.mp4;1583367563.2504625
61;1583367565.4368773;Disgust002811160.mp4;1583367571.8081095
62;1583367574.0270236;Disgust002850840.mp4;1583367581.873467
63;1583367584.0893333;Disgust003210880.mp4;1583367592.0585196
64;1583367594.649308;Disgust003236644.mp4;1583367602.7054758
65;1583367604.8606865;Disgust003307280.mp4;1583367611.2735674
66;1583367613.494466;Disgust003321880.mp4;1583367620.4365327
67;1583367622.8914406;Disgust003330000.mp4;1583367630.0256193
68;1583367638.884135;Disgust003638840.mp4;1583367645.4420238
