Name:Person_28;Age:26;Gender:male;Ethnicity:chinese;Primary Language:chinese
Video index;Video start time;Video name;Video end time
13;1583378856.797242;Disgust014403887.mp4;1583378876.243697
14;1583378879.1858203;Disgust014429160.mp4;1583378885.7431326
15;1583378888.0660052;Disgust014824160.mp4;1583378895.701501
25;1583378995.043144;Happy012256040.mp4;1583379001.7310882
26;1583379004.7193613;Happy012257440.mp4;1583379010.0040886
27;1583379013.8454657;Happy012347000.mp4;1583379020.5015666
28;1583379023.5143535;Happy012559640.mp4;1583379027.7423408
29;1583379030.6137972;Happy013327047.mp4;1583379038.3881247
30;1583379041.3820715;Happy013557320.mp4;1583379045.9217741
31;1583379048.8479757;Happy014923560.mp4;1583379053.8535802
32;1583379057.832169;Happy015407880.mp4;1583379066.694331
49;1583379239.8734047;Surprise000749320.mp4;1583379244.933107
50;1583379247.7146788;Surprise001545760.mp4;1583379255.1565144
51;1583379258.584069;Surprise001548120.mp4;1583379264.6027863
52;1583379267.2373521;Surprise001759754.mp4;1583379274.3681047
53;1583379277.3704073;Neutral004034294.mp4;1583379283.091048
54;1583379286.5257423;Neutral004159320.mp4;1583379293.0257182
55;1583379295.234237;Neutral004206880.mp4;1583379300.4256203
56;1583379303.4052308;Neutral004309120.mp4;1583379310.215872
57;1583379312.5934062;Neutral004311280.mp4;1583379322.4546652
58;1583379325.3273373;Neutral004438447.mp4;1583379331.725392
59;1583379334.3099723;Neutral004540360.mp4;1583379338.7719047
60;1583379340.9688418;Neutral004552400.mp4;1583379346.545135
61;1583379349.150431;Neutral004607000.mp4;1583379358.6237373
62;1583379361.3059525;Neutral004614520.mp4;1583379365.6589124
63;1583379372.4645662;Neutral004619560.mp4;1583379379.5276139
64;1583379382.3524568;Neutral004619614.mp4;1583379387.1074183
65;1583379390.972246;Neutral004628560.mp4;1583379396.8595119
66;1583379399.3518546;Neutral004723374.mp4;1583379404.706739
67;1583379408.0516074;Neutral004818054.mp4;1583379413.0749474
68;1583379418.3851159;Neutral004850694.mp4;1583379424.4605398
69;1583379427.0531697;Fear010226800.mp4;1583379432.6938946
70;1583379435.2325914;Fear010340320.mp4;1583379443.783425
71;1583379447.0031254;Fear010543574.mp4;1583379452.5799367
72;1583379455.5850368;Fear010839487.mp4;1583379462.243607
73;1583379465.8301494;Fear010845040.mp4;1583379471.385927
74;1583379474.0531166;Fear010924040.mp4;1583379480.1816175
75;1583379483.9477465;Fear010930760.mp4;1583379490.899691
76;1583379495.4191782;Fear011418880.mp4;1583379502.132623
77;1583379504.913277;Fear011613697.mp4;1583379509.27678
78;1583379512.47321;Fear011634360.mp4;1583379522.544899
79;1583379525.035087;Fear011752520.mp4;1583379529.2437305
80;1583379531.3578873;Fear011845760.mp4;1583379535.2046232
