Name:Person_40;Age:22;Gender:Female;Ethnicity:Chinese;Primary Language:Chinese
Video index;Video start time;Video name;Video end time
1;1545023453.993867;Surprise001549320.mp4;1545023483.640057
2;1545023494.27294;Surprise000851240.mp4;1545023502.544952
3;1545023509.978958;Surprise003421880.mp4;1545023523.425705
4;1545023527.838673;Surprise000749320.mp4;1545023537.375611
5;1545023541.014662;Surprise011631117.mp4;1545023548.515228
6;1545023552.506473;Surprise015143720.mp4;1545023557.79777
7;1545023561.004793;Surprise002523280.mp4;1545023571.328227
8;1545023574.622717;Surprise000157760.mp4;1545023582.215204
9;1545023585.716834;Surprise002730440.mp4;1545023597.675016
10;1545023607.57889;Angry005846280.mp4;1545023614.416462
11;1545023618.068326;Angry003948807.mp4;1545023625.65763
12;1545023629.237998;Angry000223480.mp4;1545023636.941703
13;1545023640.070215;Angry013224647.mp4;1545023649.679717
14;1545023653.098929;Angry002757160.mp4;1545023661.272709
15;1545023664.503459;Angry003124480.mp4;1545023670.032521
16;1545023673.017405;Angry005015240.mp4;1545023679.647259
17;1545023682.821547;Angry003618000.mp4;1545023689.960867
18;1545023693.41705;Angry003021680.mp4;1545023699.163587
19;1545023701.92466;Angry012131040.mp4;1545023708.735612
20;1545023711.909842;Angry012917728.mp4;1545023719.600527
21;1545023722.513554;Angry005234720.mp4;1545023732.592098
22;1545023735.615402;Angry003415240.mp4;1545023743.994944
23;1545023746.977623;Angry005924840.mp4;1545023751.839862
24;1545023754.617527;Angry000046280.mp4;1545023761.167575
25;1545023765.205798;Angry004329400.mp4;1545023770.29765
26;1545023773.879348;Angry010618600.mp4;1545023781.61882
27;1545023787.286616;Fear000340094.mp4;1545023795.113202
28;1545023798.386768;Fear010932520.mp4;1545023805.117143
29;1545023811.700923;Fear001055020.mp4;1545023822.196407
30;1545023824.965683;Fear010046200.mp4;1545023832.699327
31;1545023836.053433;Fear004853480.mp4;1545023842.696635
32;1545023845.789319;Fear005558720.mp4;1545023850.617018
33;1545023857.03211;Fear010543574.mp4;1545023862.913573
34;1545023867.43887;Fear004242574.mp4;1545023876.488573
35;1545023879.740413;Fear004448480.mp4;1545023887.206715
36;1545023890.702695;Fear000540800.mp4;1545023899.433194
37;1545023905.221798;Sad014310160.mp4;1545023912.201472
38;1545023917.643908;Sad010512120.mp4;1545023922.955694
39;1545023925.958605;Sad005534800.mp4;1545023930.272859
40;1545023934.751408;Sad003724280.mp4;1545023940.186348
41;1545023943.542494;Sad003224360.mp4;1545023951.479883
42;1545023954.25909;Sad000427294.mp4;1545023959.087476
43;1545023963.030779;Sad004617440.mp4;1545023969.071941
44;1545023973.041734;Sad002525560.mp4;1545023980.680705
45;1545023986.014892;Sad002302057.mp4;1545023997.359237
46;1545024000.861722;Sad010553167.mp4;1545024006.351384
47;1545024009.357569;Sad012949160.mp4;1545024015.21664
48;1545024017.923227;Sad000343800.mp4;1545024025.523189
49;1545024028.454042;Sad005624720.mp4;1545024038.641395
50;1545024042.128221;Sad005917560.mp4;1545024050.969416
51;1545024054.344296;Sad010258160.mp4;1545024063.727341
52;1545024073.077204;Happy002503000.mp4;1545024079.47989
53;1545024083.758046;Happy004712280.mp4;1545024090.263639
54;1545024093.279173;Happy005332407.mp4;1545024101.600368
55;1545024105.183441;Happy004411160.mp4;1545024110.553066
56;1545024113.392661;Happy003910920.mp4;1545024121.000783
57;1545024124.434064;Happy001815600.mp4;1545024129.745696
58;1545024132.664015;Happy003917840.mp4;1545024137.110472
59;1545024139.926163;Happy003646520.mp4;1545024147.280531
60;1545024151.147854;Happy010659200.mp4;1545024157.177425
61;1545024160.089152;Happy002324880.mp4;1545024167.345844
62;1545024171.152637;Happy012236960.mp4;1545024180.182572
63;1545024186.145683;Happy010114657.mp4;1545024192.049039
64;1545024199.631058;Happy011720723.mp4;1545024204.639949
65;1545024212.535064;Happy003141960.mp4;1545024219.287957
66;1545024222.559992;Happy001748527.mp4;1545024227.799356
67;1545024230.959025;Happy002400680.mp4;1545024237.474365
68;1545024240.747438;Happy001954560.mp4;1545024246.880646
69;1545024253.407377;Happy004558800.mp4;1545024262.919898
70;1545024267.081248;Happy002953600.mp4;1545024273.184239
71;1545024278.815705;Neutral011915720.mp4;1545024286.272
72;1545024289.053729;Neutral004607000.mp4;1545024294.839636
73;1545024297.703944;Neutral011917200.mp4;1545024304.410471
74;1545024307.014244;Neutral003800240.mp4;1545024323.634498
75;1545024329.012679;Neutral000734640.mp4;1545024336.970785
76;1545024341.19369;Neutral004540360.mp4;1545024347.161595
77;1545024351.669593;Neutral002144977.mp4;1545024360.19185
78;1545024365.388373;Neutral020127800.mp4;1545024374.224698
79;1545024378.748317;Neutral004619614.mp4;1545024390.300396
80;1545024393.10977;Neutral000452240.mp4;1545024398.584705
81;1545024401.423648;Neutral013952880.mp4;1545024408.159229
82;1545024410.956373;Neutral010217640.mp4;1545024416.777171
83;1545024428.054798;Neutral013042560.mp4;1545024434.407977
84;1545024437.609348;Neutral000509960.mp4;1545024444.769084
85;1545024447.791382;Neutral003140960.mp4;1545024457.305865
86;1545024460.752258;Neutral002631560.mp4;1545024467.05022
87;1545024472.30996;Neutral010306120.mp4;1545024482.191383
88;1545024485.196551;Neutral001343200.mp4;1545024491.362751
89;1545024498.34212;Disgust003648600.mp4;1545024508.033549
90;1545024511.622257;Disgust000628840.mp4;1545024521.865628
