Name:Person_44;Age:38;Gender:Female;Ethnicity: Asian ;Primary Language:Other
Video index;Video start time;Video name;Video end time
1;1545270644.784185;Angry005110000.mp4;1545270666.794795
2;1545270678.159134;Angry003345000.mp4;1545270687.785121
3;1545270693.166936;Angry015020000.mp4;1545270702.056889
4;1545270706.847862;Angry010132240.mp4;1545270714.497921
5;1545270719.721659;Angry003618000.mp4;1545270726.32387
6;1545270731.199994;Angry001419640.mp4;1545270738.139075
7;1545270741.479486;Angry012332520.mp4;1545270747.340662
8;1545270750.712137;Angry003021680.mp4;1545270756.793449
9;1545270760.182288;Angry003805880.mp4;1545270765.835943
10;1545270769.598708;Angry004113320.mp4;1545270777.306079
11;1545270781.27414;Angry005014360.mp4;1545270787.642745
12;1545270790.959444;Angry010805120.mp4;1545270798.769779
13;1545270801.367021;Angry012131040.mp4;1545270808.323917
14;1545270811.109418;Angry000846120.mp4;1545270820.618258
15;1545270824.07943;Angry000947327.mp4;1545270829.444014
16;1545270833.376209;Angry011458520.mp4;1545270839.804673
17;1545270843.886795;Angry011824880.mp4;1545270852.546746
18;1545270866.259798;Neutral001343200.mp4;1545270878.522699
19;1545270883.070502;Neutral010505920.mp4;1545270891.633827
20;1545270894.84636;Neutral001522614.mp4;1545270903.668293
21;1545270907.407977;Neutral012743760.mp4;1545270912.227245
22;1545270916.3452;Neutral003044960.mp4;1545270924.291493
23;1545270928.83121;Neutral005733200.mp4;1545270937.217714
24;1545270940.728088;Neutral002117120.mp4;1545270946.44852
25;1545270950.200367;Neutral004034294.mp4;1545270958.306752
26;1545270962.258078;Neutral000217360.mp4;1545270968.867366
27;1545270972.167934;Neutral010217640.mp4;1545270980.044261
28;1545270983.456514;Neutral011937240.mp4;1545270990.308906
29;1545270994.664059;Neutral002913374.mp4;1545271000.552773
30;1545271003.999391;Neutral001910760.mp4;1545271009.481535
31;1545271013.306538;Neutral010247814.mp4;1545271020.907036
32;1545271024.945368;Neutral003800240.mp4;1545271030.433095
33;1545271033.871046;Neutral000427934.mp4;1545271043.873791
34;1545271047.330372;Neutral005744520.mp4;1545271052.195338
35;1545271055.775582;Neutral005243400.mp4;1545271063.996477
36;1545271076.145504;Happy002522600.mp4;1545271083.580087
37;1545271086.62499;Happy004312720.mp4;1545271091.010357
38;1545271093.850155;Happy002252017.mp4;1545271101.481698
39;1545271104.871899;Happy010102537.mp4;1545271110.418289
