Name:Person_46;Age:18;Gender:Female;Ethnicity:Chinese;Primary Language:Chnese
Video index;Video start time;Video name;Video end time
1;1544846852.990304;Fear003858160.mp4;1544846866.006429
2;1544846879.426496;Fear013152487.mp4;1544846889.599462
3;1544846896.531289;Fear001113440.mp4;1544846909.189226
4;1544846913.076334;Fear013949200.mp4;1544846925.446762
5;1544846929.694385;Fear001846440.mp4;1544846935.612613
6;1544846941.354546;Fear004442200.mp4;1544846956.519401
7;1544846960.790879;Fear002910000.mp4;1544846974.948709
8;1544846978.426753;Fear004448480.mp4;1544846984.325449
9;1544846987.913503;Fear000852880.mp4;1544846996.285199
10;1544846999.49685;Fear002414574.mp4;1544847008.540596
11;1544847021.715959;Surprise000157760.mp4;1544847026.382107
12;1544847029.659016;Surprise000102534.mp4;1544847037.037641
13;1544847040.912224;Surprise001549320.mp4;1544847055.557214
14;1544847058.801742;Surprise000252168.mp4;1544847068.813332
15;1544847072.443919;Surprise005242000.mp4;1544847082.644982
16;1544847086.35497;Surprise012341120.mp4;1544847093.390498
17;1544847099.162895;Surprise001913160.mp4;1544847107.621653
18;1544847111.1617;Surprise002712120.mp4;1544847117.38984
19;1544847123.737058;Surprise004545840.mp4;1544847130.359164
20;1544847138.158305;Neutral010224243.mp4;1544847146.856155
21;1544847150.771182;Neutral000705360.mp4;1544847159.685322
22;1544847164.984456;Neutral010605600.mp4;1544847175.933219
23;1544847179.01751;Neutral003219120.mp4;1544847186.051829
24;1544847189.936017;Neutral001343200.mp4;1544847196.028744
25;1544847198.952767;Neutral021437680.mp4;1544847209.577417
26;1544847213.285958;Neutral013837440.mp4;1544847219.768164
27;1544847225.185613;Neutral003322280.mp4;1544847231.733764
28;1544847236.448439;Neutral010431760.mp4;1544847243.726002
29;1544847246.603767;Neutral011559400.mp4;1544847254.1476
30;1544847258.105785;Neutral010217640.mp4;1544847263.148981
31;1544847267.044105;Neutral000509960.mp4;1544847273.86729
32;1544847280.098389;Neutral010306120.mp4;1544847288.612279
33;1544847293.427798;Neutral000506080.mp4;1544847301.806112
34;1544847305.217754;Neutral004619614.mp4;1544847310.661963
35;1544847314.385314;Neutral020950800.mp4;1544847321.116996
36;1544847324.667466;Neutral010630520.mp4;1544847332.251858
37;1544847338.963082;Neutral013547000.mp4;1544847347.734675
38;1544847357.782386;Angry003021680.mp4;1544847362.907713
39;1544847367.770881;Angry004113320.mp4;1544847374.532365
40;1544847377.658762;Angry000800760.mp4;1544847384.12442
41;1544847389.249599;Angry000947327.mp4;1544847395.803798
42;1544847399.219436;Angry004423640.mp4;1544847404.988498
43;1544847408.580444;Angry012048128.mp4;1544847416.308731
44;1544847419.170891;Angry003124480.mp4;1544847426.907718
45;1544847430.925297;Angry001454480.mp4;1544847436.316054
46;1544847440.209978;Angry004805814.mp4;1544847445.014138
47;1544847449.155143;Angry001419640.mp4;1544847468.885223
48;1544847475.730113;Angry004508680.mp4;1544847483.412097
49;1544847486.449403;Angry015441400.mp4;1544847493.455908
50;1544847497.497237;Angry005044400.mp4;1544847504.599603
51;1544847508.610844;Angry004559600.mp4;1544847514.451987
52;1544847519.378478;Angry010129600.mp4;1544847526.491968
53;1544847530.769678;Angry005014360.mp4;1544847542.199937
54;1544847545.338618;Angry011326080.mp4;1544847550.735092
55;1544847559.986588;Sad000341040.mp4;1544847567.65914
56;1544847571.265799;Sad013820200.mp4;1544847578.613268
57;1544847582.170319;Sad004141880.mp4;1544847588.869991
58;1544847592.203331;Sad003716120.mp4;1544847599.97439
59;1544847604.466874;Sad013839760.mp4;1544847610.964236
60;1544847615.468408;Sad005143000.mp4;1544847623.285711
61;1544847626.780993;Sad002302057.mp4;1544847634.521626
62;1544847638.746012;Sad000451774.mp4;1544847643.931835
63;1544847648.910434;Sad002410291.mp4;1544847654.940451
64;1544847659.307568;Sad010438843.mp4;1544847664.723719
65;1544847669.188884;Sad002712960.mp4;1544847677.655118
66;1544847681.344165;Sad003716360.mp4;1544847687.243632
67;1544847690.871296;Sad004117920.mp4;1544847705.995593
68;1544847709.876282;Sad005239072.mp4;1544847718.011921
69;1544847721.1439;Sad005231565.mp4;1544847731.020701
70;1544847738.579422;Happy001138040.mp4;1544847744.025491
71;1544847748.377616;Happy014140967.mp4;1544847760.95193
72;1544847765.880326;Happy012904560.mp4;1544847774.211951
73;1544847778.208973;Happy000548800.mp4;1544847787.691104
74;1544847791.044924;Happy010702094.mp4;1544847795.735638
75;1544847798.817983;Happy000326680.mp4;1544847805.310901
76;1544847808.119693;Happy010310407.mp4;1544847814.295759
77;1544847817.774338;Happy001807000.mp4;1544847825.36518
78;1544847828.018779;Happy000416200.mp4;1544847833.395471
79;1544847836.116041;Happy000812280.mp4;1544847844.770274
80;1544847848.575254;Happy001215160.mp4;1544847855.766615
81;1544847860.16325;Happy002400680.mp4;1544847865.861469
82;1544847869.050769;Happy004004880.mp4;1544847876.465254
83;1544847879.010086;Happy012633640.mp4;1544847884.222302
84;1544847887.024128;Happy010404607.mp4;1544847891.52536
85;1544847895.459368;Happy005933120.mp4;1544847900.646465
86;1544847903.544861;Happy005543160.mp4;1544847909.613052
87;1544847912.449948;Happy010148720.mp4;1544847922.308762
88;1544847928.301358;Happy010401800.mp4;1544847933.365497
89;1544847961.673893;Disgust014824160.mp4;1544847969.875996
90;1544847973.19304;Disgust010626240.mp4;1544847983.155825
91;1544847986.802009;Disgust002516934.mp4;1544847993.76489
92;1544847996.786685;Disgust010939560.mp4;1544848004.669229
93;1544848007.665917;Disgust013317360.mp4;1544848024.435271
94;1544848029.4974;Disgust004540160.mp4;1544848035.203978
95;1544848039.057467;Disgust011745280.mp4;1544848051.198917
96;1544848054.729563;Disgust002850840.mp4;1544848060.463833
97;1544848066.392465;Disgust003815934.mp4;1544848073.442414
