Name:Person_48;Age:22;Gender:Female;Ethnicity:Chinese;Primary Language:Mandarin
Video index;Video start time;Video name;Video end time
1;1545106269.517978;Angry011145880.mp4;1545106289.73267
2;1545106306.20909;Angry011326080.mp4;1545106320.306406
3;1545106327.682313;Angry012917728.mp4;1545106335.670939
4;1545106340.658789;Angry010519417.mp4;1545106355.517836
5;1545106361.841368;Angry000223480.mp4;1545106370.140528
6;1545106376.458467;Angry003948807.mp4;1545106383.068366
7;1545106390.256532;Angry010620475.mp4;1545106402.771745
8;1545106409.355106;Angry012012320.mp4;1545106418.622383
9;1545106426.777436;Angry004519160.mp4;1545106439.692161
10;1545106448.162064;Angry003858520.mp4;1545106459.918441
11;1545106466.034561;Angry005937200.mp4;1545106477.958492
12;1545106484.753149;Angry005044400.mp4;1545106491.878398
13;1545106496.481466;Angry002757160.mp4;1545106503.660184
14;1545106508.828085;Angry003921207.mp4;1545106515.17991
15;1545106520.378862;Angry010511560.mp4;1545106525.531754
16;1545106530.482276;Angry012404000.mp4;1545106536.028792
17;1545106541.386479;Angry013925520.mp4;1545106553.651282
18;1545106574.404744;Neutral000452240.mp4;1545106588.71582
19;1545106592.914966;Neutral004628560.mp4;1545106618.035484
20;1545106622.745446;Neutral010630520.mp4;1545106630.619324
21;1545106634.666425;Neutral003732200.mp4;1545106655.970919
22;1545106664.82652;Neutral013952880.mp4;1545106670.829128
23;1545106679.410029;Neutral003012143.mp4;1545106685.860705
24;1545106697.771954;Neutral003349414.mp4;1545106704.082955
25;1545106710.585425;Neutral023340360.mp4;1545106724.035527
26;1545106729.17972;Neutral002215207.mp4;1545106734.496602
27;1545106739.498576;Neutral004951200.mp4;1545106745.213946
28;1545106749.539867;Neutral011359760.mp4;1545106759.550647
29;1545106764.931127;Neutral001538520.mp4;1545106774.508364
30;1545106779.355136;Neutral012019363.mp4;1545106786.386246
31;1545106790.818779;Neutral001346600.mp4;1545106803.420212
32;1545106807.561381;Neutral012908280.mp4;1545106816.278412
33;1545106820.898351;Neutral011622200.mp4;1545106831.093153
34;1545106836.204352;Neutral020127800.mp4;1545106854.492087
35;1545106859.043536;Neutral010155840.mp4;1545106873.506067
36;1545106918.575196;Happy001742240.mp4;1545106924.781532
37;1545106929.987625;Happy000606080.mp4;1545106934.964227
38;1545106939.418872;Happy001846360.mp4;1545106947.228083
39;1545106951.123737;Happy005626200.mp4;1545106957.229705
40;1545106960.922215;Happy003142087.mp4;1545106968.692356
41;1545106972.585598;Happy002723534.mp4;1545106978.876853
42;1545106982.467342;Happy001345207.mp4;1545106990.83902
43;1545106995.066494;Happy001414094.mp4;1545107001.061118
44;1545107007.007171;Happy012236960.mp4;1545107016.421881
45;1545107022.174112;Happy005143680.mp4;1545107029.475471
46;1545107033.373647;Happy015407880.mp4;1545107041.676426
47;1545107048.288424;Happy010232120.mp4;1545107059.909709
48;1545107066.211524;Happy010907120.mp4;1545107074.525179
49;1545107078.762712;Happy000534800.mp4;1545107087.86293
50;1545107093.235801;Happy004004880.mp4;1545107105.299058
51;1545107109.801792;Happy010229040.mp4;1545107115.845086
52;1545107119.181085;Happy000812598.mp4;1545107124.716578
53;1545107128.520038;Happy000143240.mp4;1545107133.908766
54;1545107137.0807;Happy001335200.mp4;1545107145.067226
55;1545107167.738616;Disgust001744640.mp4;1545107173.266676
56;1545107177.059872;Disgust001934160.mp4;1545107183.916143
57;1545107187.217299;Disgust001229360.mp4;1545107192.204194
58;1545107197.148278;Disgust011745280.mp4;1545107204.947634
59;1545107208.316212;Disgust002516934.mp4;1545107216.981505
60;1545107220.993824;Disgust005941880.mp4;1545107243.110155
61;1545107246.618298;Disgust014429160.mp4;1545107253.636059
62;1545107257.565285;Disgust001809000.mp4;1545107267.494733
63;1545107272.218901;Disgust000628840.mp4;1545107279.277491
64;1545107302.664091;Sad001425880.mp4;1545107312.752958
65;1545107316.868254;Sad004711640.mp4;1545107321.834371
66;1545107325.026889;Sad000150854.mp4;1545107331.549567
67;1545107335.707123;Sad010223767.mp4;1545107347.060732
68;1545107352.161943;Sad004617440.mp4;1545107359.620741
69;1545107364.597552;Sad012528560.mp4;1545107372.432078
70;1545107376.020238;Sad000427294.mp4;1545107385.060431
71;1545107389.22065;Sad004259720.mp4;1545107396.141552
72;1545107400.905647;Sad000451774.mp4;1545107407.923134
73;1545107411.251862;Sad005143000.mp4;1545107418.556757
74;1545107422.274065;Sad004418334.mp4;1545107432.389274
