Name:Person_53;Age:19;Gender:Male;Ethnicity:Chinese;Primary Language:Chinese
Video index;Video start time;Video name;Video end time
1;1545019856.198227;Surprise000311160.mp4;1545019879.510213
2;1545019890.776672;Surprise003420687.mp4;1545019901.310324
3;1545019909.912364;Surprise001610960.mp4;1545019916.768597
4;1545019921.619946;Surprise000353800.mp4;1545019928.775048
5;1545019937.811178;Surprise002518734.mp4;1545019965.847583
6;1545019969.815143;Surprise000652814.mp4;1545019980.112324
7;1545019986.481376;Surprise005242000.mp4;1545019997.360198
8;1545020004.791592;Surprise001947263.mp4;1545020012.04552
9;1545020018.400183;Surprise005841913.mp4;1545020023.527847
10;1545020034.109641;Angry011458520.mp4;1545020043.111001
11;1545020049.725447;Angry010129600.mp4;1545020054.879162
12;1545020060.972875;Angry002137000.mp4;1545020071.795708
13;1545020077.484612;Angry011145880.mp4;1545020087.194053
14;1545020092.737406;Angry003319680.mp4;1545020102.464214
15;1545020111.232286;Angry015441400.mp4;1545020118.933024
16;1545020124.8312;Angry011419080.mp4;1545020130.807685
17;1545020134.151383;Angry010519417.mp4;1545020140.072078
18;1545020144.599024;Angry003345000.mp4;1545020153.115033
19;1545020159.140128;Angry011456040.mp4;1545020172.086221
20;1545020181.019767;Angry010511560.mp4;1545020194.6978
21;1545020197.766637;Angry002014840.mp4;1545020213.391493
22;1545020219.445171;Angry010620475.mp4;1545020225.670425
23;1545020231.471984;Angry005419880.mp4;1545020241.018289
24;1545020245.016317;Angry011326080.mp4;1545020252.451678
25;1545020256.536267;Angry003858520.mp4;1545020263.135798
26;1545020266.45941;Angry015020000.mp4;1545020271.767258
27;1545020279.901277;Fear001058600.mp4;1545020299.883926
28;1545020306.572428;Fear000359934.mp4;1545020314.151831
29;1545020320.783191;Fear011634360.mp4;1545020330.863373
30;1545020335.859644;Fear004050280.mp4;1545020344.487449
31;1545020348.810748;Fear001846440.mp4;1545020355.751094
32;1545020360.040813;Fear013645920.mp4;1545020368.14192
33;1545020377.471584;Fear003556960.mp4;1545020383.806924
34;1545020387.45683;Fear015610480.mp4;1545020396.1078
35;1545020399.195066;Fear003439750.mp4;1545020405.973981
36;1545020408.909912;Fear011029550.mp4;1545020418.078925
37;1545020423.605819;Sad015653680.mp4;1545020432.199696
38;1545020435.476195;Sad005608760.mp4;1545020444.18529
39;1545020448.127445;Sad010223767.mp4;1545020457.308584
40;1545020459.913948;Sad004513880.mp4;1545020465.791292
41;1545020470.563709;Sad010233480.mp4;1545020476.10094
42;1545020479.243988;Sad005629320.mp4;1545020488.396377
43;1545020492.079943;Sad011956240.mp4;1545020497.707423
44;1545020501.648387;Sad011450480.mp4;1545020512.231689
45;1545020515.612208;Sad010730723.mp4;1545020524.591521
46;1545020527.396004;Sad012701000.mp4;1545020534.496357
47;1545020539.892548;Sad001644720.mp4;1545020549.38239
48;1545020552.809126;Sad011437680.mp4;1545020559.445864
49;1545020562.284053;Sad010646720.mp4;1545020567.905383
50;1545020570.69593;Sad000141494.mp4;1545020582.111658
51;1545020587.911089;Sad004259720.mp4;1545020596.273548
52;1545020603.455035;Happy000257240.mp4;1545020613.444497
53;1545020618.080949;Happy011058967.mp4;1545020622.846379
54;1545020626.399693;Happy000608400.mp4;1545020631.263541
55;1545020634.069262;Happy001414094.mp4;1545020640.313369
56;1545020645.284649;Happy012447680.mp4;1545020651.44762
57;1545020655.693948;Happy003029120.mp4;1545020662.626601
58;1545020666.888243;Happy003239520.mp4;1545020673.511617
59;1545020676.415526;Happy003605560.mp4;1545020680.830891
60;1545020683.77058;Happy004425334.mp4;1545020698.475031
61;1545020702.405227;Happy011526007.mp4;1545020707.28046
