Name:Person_56;Age:39;Gender:Female;Ethnicity: I Am An Indian;Primary Language:Hindi
Video index;Video start time;Video name;Video end time
1;1545272382.403066;Angry011345040.mp4;1545272390.730965
2;1545272399.623628;Angry004556920.mp4;1545272407.870124
3;1545272413.090008;Angry010431280.mp4;1545272421.059009
4;1545272425.000041;Angry011419080.mp4;1545272429.219276
5;1545272434.338906;Angry003210247.mp4;1545272446.131667
6;1545272450.99871;Angry005007120.mp4;1545272460.117966
7;1545272465.398946;Angry000746734.mp4;1545272475.689724
8;1545272479.22934;Angry011833280.mp4;1545272492.236827
9;1545272495.024616;Angry000450454.mp4;1545272502.176244
10;1545272506.448505;Angry010806840.mp4;1545272512.956856
11;1545272515.463863;Angry005718367.mp4;1545272522.939588
12;1545272527.286875;Angry021913080.mp4;1545272537.531676
13;1545272542.48686;Angry002338414.mp4;1545272548.339826
14;1545272552.040942;Angry005436800.mp4;1545272563.650205
15;1545272566.862624;Angry011500040.mp4;1545272573.715026
16;1545272577.327997;Angry012738600.mp4;1545272583.442015
17;1545272586.676381;Angry000550480.mp4;1545272593.220962
18;1545272601.498099;Neutral011917200.mp4;1545272611.914576
19;1545272615.249378;Neutral002249887.mp4;1545272622.020824
20;1545272626.678945;Neutral000509960.mp4;1545272633.674496
21;1545272639.456229;Neutral010605600.mp4;1545272646.995196
22;1545272650.248942;Neutral010658723.mp4;1545272656.541934
23;1545272661.824926;Neutral000909960.mp4;1545272666.882374
24;1545272670.056767;Neutral002443480.mp4;1545272674.481351
25;1545272677.593868;Neutral004552400.mp4;1545272683.411677
26;1545272688.414425;Neutral010431760.mp4;1545272694.29917
27;1545272697.328525;Neutral005355200.mp4;1545272704.844633
28;1545272707.711672;Neutral002852720.mp4;1545272716.612749
29;1545272721.600533;Neutral002631560.mp4;1545272733.542255
30;1545272736.705109;Neutral010037480.mp4;1545272744.491666
31;1545272747.392107;Neutral011754720.mp4;1545272757.414734
32;1545272760.486528;Neutral003801920.mp4;1545272765.427487
33;1545272769.376954;Neutral004723374.mp4;1545272776.412066
34;1545272779.591709;Neutral000620800.mp4;1545272785.866796
35;1545272788.567106;Neutral012037520.mp4;1545272795.014921
36;1545272801.969397;Happy000231280.mp4;1545272809.107687
37;1545272814.559112;Happy004713360.mp4;1545272823.219996
38;1545272825.823241;Happy002604920.mp4;1545272831.553922
39;1545272834.451082;Happy000513320.mp4;1545272840.001567
40;1545272842.873223;Happy000201320.mp4;1545272848.733669
41;1545272851.985147;Happy002459400.mp4;1545272860.722114
42;1545272863.463612;Happy001954560.mp4;1545272868.272897
43;1545272870.730792;Happy010156083.mp4;1545272876.801689
44;1545272879.816976;Happy004558800.mp4;1545272884.736599
45;1545272887.544026;Happy010258723.mp4;1545272891.874903
46;1545272895.033507;Happy001340000.mp4;1545272900.066015
47;1545272902.912179;Happy002400680.mp4;1545272915.036135
48;1545272918.647403;Happy011058967.mp4;1545272924.440692
49;1545272927.156831;Happy005543160.mp4;1545272933.305351
50;1545272936.944982;Happy003229280.mp4;1545272942.949779
51;1545272945.849671;Happy002148094.mp4;1545272951.098981
52;1545272953.749831;Happy000456960.mp4;1545272960.669663
53;1545272963.152894;Happy012135560.mp4;1545272967.107678
54;1545272969.495976;Happy001941000.mp4;1545272974.842057
55;1545272979.634782;Disgust003936120.mp4;1545272985.641551
56;1545272988.658339;Disgust000519240.mp4;1545272995.035388
57;1545272997.625291;Disgust002138680.mp4;1545273003.87416
58;1545273006.905023;Disgust011833760.mp4;1545273014.516257
59;1545273017.847415;Disgust003648600.mp4;1545273025.73911
60;1545273028.70474;Disgust010939560.mp4;1545273036.653295
61;1545273039.353473;Disgust001629720.mp4;1545273047.740125
62;1545273050.058333;Disgust005153760.mp4;1545273055.900223
63;1545273058.431779;Disgust003638840.mp4;1545273064.491318
64;1545273069.083512;Sad010233480.mp4;1545273074.850428
65;1545273078.193375;Sad005629320.mp4;1545273083.686196
66;1545273085.990572;Sad005206720.mp4;1545273097.129921
67;1545273099.601946;Sad000510760.mp4;1545273104.946519
68;1545273107.674067;Sad001644720.mp4;1545273112.843969
69;1545273115.408054;Sad004235880.mp4;1545273122.651761
70;1545273126.352821;Sad003224360.mp4;1545273137.990625
71;1545273140.522118;Sad014611480.mp4;1545273145.619906
72;1545273149.353534;Sad003354480.mp4;1545273152.907381
73;1545273155.631097;Sad010516320.mp4;1545273160.795002
74;1545273163.343604;Sad010805360.mp4;1545273168.731134
75;1545273171.273081;Sad014709480.mp4;1545273176.642166
76;1545273179.528787;Sad014427000.mp4;1545273184.915617
77;1545273187.673159;Sad011956240.mp4;1545273192.867011
78;1545273195.375676;Sad005352720.mp4;1545273199.108298
79;1545273203.328338;Surprise000311160.mp4;1545273211.715846
80;1545273214.879521;Surprise010620040.mp4;1545273219.634144
81;1545273222.487359;Surprise012554740.mp4;1545273226.587988
82;1545273228.936519;Surprise004603760.mp4;1545273233.110606
83;1545273238.215984;Surprise000851240.mp4;1545273244.004382
84;1545273248.71241;Surprise014003120.mp4;1545273253.449695
85;1545273256.801942;Surprise003440294.mp4;1545273261.179861
86;1545273263.793304;Surprise004605760.mp4;1545273268.54226
87;1545273271.40081;Surprise000455174.mp4;1545273279.661953
88;1545273285.218701;Fear013736360.mp4;1545273289.4505
89;1545273292.410041;Fear001846440.mp4;1545273297.659058
90;1545273299.92953;Fear003316894.mp4;1545273302.771652
91;1545273306.969153;Fear010340320.mp4;1545273310.524936
92;1545273313.383311;Fear005558720.mp4;1545273319.217774
93;1545273323.023765;Fear004448480.mp4;1545273331.204262
94;1545273333.848379;Fear004441414.mp4;1545273339.747208
95;1545273342.024901;Fear011847320.mp4;1545273348.53124
96;1545273351.39205;Fear003439750.mp4;1545273356.510552
97;1545273359.560195;Fear011855880.mp4;1545273366.091863
