Name:Person_6;Age:23;Gender:male;Ethnicity:Chinese;Primary Language:Mandarin
Video index;Video start time;Video name;Video end time
1;1583391351.7529519;Happy010232120.mp4;1583391379.1217537
2;1583391390.1894302;Happy010258723.mp4;1583391398.23386
3;1583391408.2024946;Happy010310407.mp4;1583391423.824068
4;1583391428.3589575;Happy010401800.mp4;1583391433.2144732
5;1583391437.215691;Happy010659200.mp4;1583391443.8873048
6;1583391448.8951032;Happy010702094.mp4;1583391458.8898993
7;1583391462.7972798;Happy010907120.mp4;1583391484.1138077
8;1583391487.4629252;Happy011016120.mp4;1583391496.2435243
9;1583391499.7860532;Happy011058967.mp4;1583391507.000175
10;1583391510.9401486;Happy011109560.mp4;1583391521.5125697
11;1583391525.6436388;Happy011230520.mp4;1583391532.5594227
12;1583391535.8059456;Happy011340288.mp4;1583391549.4784913
13;1583391553.71616;Happy011526007.mp4;1583391558.157948
14;1583391564.0104392;Happy011714960.mp4;1583391572.247765
15;1583391575.4801812;Happy011720723.mp4;1583391581.488099
16;1583391586.076715;Happy012056680.mp4;1583391593.6392725
17;1583391596.7476037;Fear013736360.mp4;1583391603.247361
18;1583391606.8562026;Fear013746920.mp4;1583391613.6560812
19;1583391616.6076765;Fear013925480.mp4;1583391623.1061513
20;1583391627.0471637;Fear015610480.mp4;1583391633.7640553
21;1583391636.9985151;Fear000436000.mp4;1583391642.5975513
22;1583391645.8765962;Fear001143440.mp4;1583391653.381336
23;1583391656.3833137;Fear001602760.mp4;1583391661.63522
24;1583391664.7847972;Fear001846440.mp4;1583391670.2209737
25;1583391672.778163;Fear002021400.mp4;1583391677.1291833
26;1583391680.0957341;Fear002241000.mp4;1583391685.901719
27;1583391691.5067334;Fear002414574.mp4;1583391698.8759701
28;1583391701.6484282;Fear002551440.mp4;1583391708.0145245
29;1583391712.2290962;Sad012325488.mp4;1583391718.1169686
30;1583391721.2532978;Sad012336688.mp4;1583391725.5782862
31;1583391728.9677572;Sad012949160.mp4;1583391733.6790483
32;1583391737.0844498;Sad013211760.mp4;1583391741.726838
33;1583391745.3981678;Sad013610680.mp4;1583391750.9199007
34;1583391753.6800818;Sad013720600.mp4;1583391759.9419668
35;1583391763.4428787;Sad013827920.mp4;1583391772.0535202
36;1583391774.7119207;Sad014310160.mp4;1583391789.152096
37;1583391793.034971;Sad014427000.mp4;1583391798.1674304
38;1583391803.5283225;Sad014525280.mp4;1583391808.522735
39;1583391811.376652;Sad014611480.mp4;1583391817.0705152
40;1583391819.9351497;Sad014643120.mp4;1583391824.3400676
41;1583391827.027878;Angry012715000.mp4;1583391833.1454716
42;1583391836.27212;Angry012830960.mp4;1583391841.9981685
43;1583391845.39813;Angry012917728.mp4;1583391855.455358
44;1583391858.7010074;Angry012943150.mp4;1583391861.9033654
45;1583391864.647234;Angry013224647.mp4;1583391869.1871529
46;1583391871.6831179;Angry013836768.mp4;1583391875.707211
47;1583391879.1818914;Angry013847328.mp4;1583391890.3203568
48;1583391893.270496;Angry013925520.mp4;1583391903.8533256
49;1583391906.7465913;Angry013959520.mp4;1583391912.1571872
50;1583391914.7703347;Angry015020000.mp4;1583391919.8481686
51;1583391927.0634186;Angry015256413.mp4;1583391933.6028721
52;1583391936.3488054;Angry020913240.mp4;1583391940.7684665
53;1583391943.3008091;Surprise004029240.mp4;1583391948.1777227
54;1583391950.9050877;Surprise004407487.mp4;1583391956.402016
55;1583391958.5886297;Surprise004601560.mp4;1583391963.7096372
56;1583391966.086282;Surprise005242000.mp4;1583391973.2326753
57;1583391976.3264012;Surprise011018537.mp4;1583391983.292694
58;1583391986.2302482;Surprise011603980.mp4;1583391989.9575958
59;1583391992.3532164;Surprise011737720.mp4;1583391998.1946583
60;1583392001.7925532;Surprise012341120.mp4;1583392008.3686397
61;1583392011.0183642;Surprise014003120.mp4;1583392018.6044986
62;1583392021.3240542;Surprise015143720.mp4;1583392028.792606
63;1583392032.70315;Surprise000749320.mp4;1583392038.7243063
64;1583392041.7132885;Surprise001545760.mp4;1583392047.9080844
65;1583392051.2008018;Disgust004541880.mp4;1583392058.5898197
66;1583392061.5708709;Disgust004949960.mp4;1583392066.1551259
67;1583392069.5292375;Disgust005153760.mp4;1583392075.0442305
68;1583392078.4558249;Disgust005217360.mp4;1583392084.9047894
69;1583392088.25498;Disgust005742240.mp4;1583392097.6055129
70;1583392100.0880568;Disgust005923627.mp4;1583392103.6852372
71;1583392106.5519679;Disgust005941880.mp4;1583392114.1373374
72;1583392117.0446339;Disgust010102200.mp4;1583392126.1143208
73;1583392128.4926126;Disgust010206973.mp4;1583392134.0436695
74;1583392137.0278132;Disgust010300163.mp4;1583392144.7643275
75;1583392147.101079;Disgust010626240.mp4;1583392156.4313483
76;1583392161.0150921;Disgust010939560.mp4;1583392168.5474043
77;1583392170.8702333;Neutral003132520.mp4;1583392175.6263485
78;1583392178.3960145;Neutral003139560.mp4;1583392184.365863
79;1583392186.9787822;Neutral003140960.mp4;1583392192.099796
80;1583392194.5003884;Neutral003219120.mp4;1583392199.626809
81;1583392203.291296;Neutral003322280.mp4;1583392207.4967694
82;1583392210.3661292;Neutral003349414.mp4;1583392217.5453937
83;1583392220.559981;Neutral003358400.mp4;1583392226.8721805
84;1583392229.4073634;Neutral003423394.mp4;1583392234.8566043
85;1583392237.2781293;Neutral003443400.mp4;1583392245.3830042
86;1583392248.0079896;Neutral003653680.mp4;1583392258.795563
87;1583392261.4446201;Neutral003732200.mp4;1583392264.936529
88;1583392267.3112779;Neutral003753360.mp4;1583392270.8959684
89;1583392273.0595665;Neutral003800240.mp4;1583392277.4022927
90;1583392280.5838454;Neutral003801920.mp4;1583392285.3459105
91;1583392287.9048948;Neutral003934614.mp4;1583392294.986965
92;1583392297.3230567;Neutral004245040.mp4;1583392303.1194139
