Name:Person_9;Age:25;Gender:male;Ethnicity:Chinese;Primary Language:Chinese
Video index;Video start time;Video name;Video end time
12;1583468723.2658765;Angry000046280.mp4;1583468730.4272628
25;1583468874.7991576;Happy000059880.mp4;1583468887.2231324
26;1583468889.7858298;Happy000143240.mp4;1583468897.7134614
27;1583468900.686051;Happy000201320.mp4;1583468912.7793236
28;1583468915.5714974;Happy000257240.mp4;1583468923.538879
29;1583468926.6180105;Happy000326680.mp4;1583468932.300998
30;1583468936.7529118;Happy000513320.mp4;1583468944.5646923
31;1583468948.0390851;Happy000608400.mp4;1583468956.552274
32;1583468958.9981372;Happy001340000.mp4;1583468967.4057183
33;1583468971.3560407;Happy002148094.mp4;1583468978.0078635
34;1583468982.771719;Happy003605560.mp4;1583468986.9067595
35;1583468989.6230552;Happy010623160.mp4;1583468996.687029
52;1583469163.3570747;Disgust000519240.mp4;1583469169.1913629
53;1583469171.6616185;Neutral000452240.mp4;1583469184.0223897
54;1583469187.1354513;Neutral000506080.mp4;1583469193.2447627
55;1583469195.9716551;Neutral000531367.mp4;1583469203.4046276
56;1583469206.1615567;Neutral000620800.mp4;1583469217.069404
57;1583469219.5116367;Neutral000645280.mp4;1583469228.5457625
58;1583469231.3473723;Neutral000804120.mp4;1583469245.179574
59;1583469247.9705331;Neutral003056160.mp4;1583469254.3567812
60;1583469257.2482674;Neutral003315480.mp4;1583469263.261919
61;1583469266.2054672;Neutral003733080.mp4;1583469272.907964
62;1583469275.5818443;Neutral005355200.mp4;1583469282.0656621
80;1583469424.4288387;Fear000340094.mp4;1583469429.0978737
88;1583469498.2997184;Surprise000252168.mp4;1583469504.7928813
89;1583469506.785573;Surprise000311160.mp4;1583469512.9219213
90;1583469515.1192617;Surprise000455174.mp4;1583469523.1054616
91;1583469525.2865794;Surprise000643974.mp4;1583469530.9346943
92;1583469535.3550873;Surprise000851240.mp4;1583469542.2041047
